"name","level_min","level_max","armor"
"Zaruk",60,60,8401
"Kurden Bloodclaw",61,61,4091
"Theldren",60,60,3791
"Beram Skychaser",60,60,8401
"Sheal Runetotem",60,60,8401
"Holt Thunderhorn",60,60,8401
"Sark Ragetotem",60,60,8401
"Father Cobb",60,60,8401
"Archmage Shymm",60,60,8401
"Cairne Bloodhoof",63,63,3795
"Honor Guard",60,60,4500
"Nazgrel",62,62,4091
"Sergra Darkthorn",60,60,3791
"Kardris Dreamseeker",60,60,8401
"Ormak Grimshot",60,60,8401
"Grezz Ragefist",60,60,8401
"Gazlowe",60,60,2541
"Shenthul",60,60,8401
"Melor Stonehoof",62,62,4091
"Ancient of Lore",62,62,4091
"Ancient of War",62,62,4091
"Arch Druid Fandral Staghelm",63,63,3759
"Raene Wolfrunner",60,60,3791
"Brakgul Deathbringer",61,61,4091
"Healing Stream Totem V",60,60,0
"Shandris Feathermoon",62,62,4091
"Magatha Grimtotem",62,62,4091
"Zor Lonetree",62,62,4091
"Arias'ta Bladesinger",60,60,8401
"Elanaria",62,62,4091
"Astarii Starseeker",60,60,3252
"Jeen'ra Nightrunner",60,60,3252
"Lysheana",60,60,8401
"Erion Shadewhisper",60,60,8401
"Mathrengyl Bearwalker",60,60,3252
"Gorm Grimtotem",62,62,4091
"Cor Grimtotem",62,62,4091
"Strashaz Myrmidon",60,61,3941
"Strashaz Sorceress",60,61,3196
"Kaal Soulreaper",60,60,8401
"Kaelystia Hatebringer",60,60,3640
"Gregory Charles",60,60,8401
"Christoph Walker",60,60,8401
"Aelthalyste",60,60,3640
"Dawnwatcher Selgorm",60,60,1009
"Argent Guard Manados",60,60,957
"Dawnwatcher Shaedlass",60,60,888
"Argent Guard Thaelrid",60,60,852
"Thrall",63,63,3749
"Lady Jaina Proudmoore",63,63,7480
"Daera Brightspear",60,60,8401
"Brogun Stoneshield",61,61,4091
"Jondor Steelbrow",60,60,8401
"Theodrus Frostbeard",60,60,8401
"Nittlebur Sparkfizzle",60,60,8401
"Valgar Highforge",60,60,8401
"Grumnus Steelshaper",60,60,8401
"Hulfdan Blackbeard",60,60,8401
"Alexander Calder",60,60,8401
"Lethlas",62,62,4391
"Phantim",62,62,4391
"Jademir Oracle",61,61,3316
"Jademir Tree Warder",60,60,3791
"Jademir Boughguard",62,62,4391
"High Explorer Magellas",60,60,8401
"Sheldras Moontree",60,60,3075
"Einris Brightspear",60,60,3075
"High Sorcerer Andromath",62,62,4091
"Rothos",62,62,4391
"Guardian of Blizzard",63,63,0
"Arch Druid Hamuul Runetotem",62,62,4091
"Pephredo",60,60,8401
"Zayus",60,60,8401
"Azuregos",63,63,4691
"Lord Arkkoroc",60,60,3791
"Duthorian Rall",60,60,3075
"Tiza Battleforge",60,60,2954
"Klannoc Macleod",60,60,8401
"Strahad Farsan",60,60,3252
"Jubahl Corpseseeker",60,60,3252
"Henen Ragetotem",62,62,4091
"Sergeant Rutger",62,62,4091
"Spirit Healer",60,60,8401
"Tabetha",62,62,4091
"Stone Guardian",60,61,4906
"King Mosh",60,60,3791
"Fahrad",60,60,8401
"Lord Jorach Ravenholdt",60,60,3791
"Zan Shivsproket",60,60,8401
"Lore Keeper of Norgannon",60,60,0
"Necro Knight Guardian",62,62,2223
"Deathknight Vindicator",62,62,3555
"Shayis Steelfury",60,60,8401
"Kelgruk Bloodaxe",60,60,8401
"Borgus Steelhand",60,60,3075
"Spirit of Naxxramas",61,61,4091
"Master Kang",62,62,4091
"Kum'isha the Collector",60,60,8401
"Flawless Draenethyst Sphere",60,60,20
"Searing Totem VI",60,60,0
"Thelman Slatefist",61,61,4091
"Taim Ragetotem",61,61,4091
"Nature Resistance Totem III",60,60,0
"Windfury Totem III",60,60,0
"Grace of Air Totem II",60,60,0
"Fallen Hero of the Horde",60,60,8401
"Dispatch Commander Ruag",60,60,8401
"Razelikh the Defiler",60,60,3791
"Ilifar",60,60,3791
"Felcular",60,60,3791
"Kalin Windflight",60,60,3075
"Marli Wishrunner",60,60,2954
"Loramus Thalipedes",60,60,8401
"Galvan the Ancient",60,60,8401
"Teremus the Devourer",63,63,5241
"Fraggar Thundermantle",60,60,8401
"Stone Watcher of Norgannon",60,60,0
"High Tinker Mekkatorque",63,63,3741
"Tyrande Whisperwind",63,63,3759
"Thyn'tel Bladeweaver",60,60,8401
"Chronalis",61,61,4091
"Archmage Xylem",60,60,3252
"Master Wood",60,60,3791
"Mithril Dragonling",60,60,3750
"Massive Infernal",63,63,4391
"Dreadlord",62,62,4391
"Felguard Elite",63,63,4091
"Manahound",60,60,3791
"Franclorn Forgewright",60,60,3075
"Hematos",60,60,3791
"Warlord Goretooth",60,60,8401
"J.D. Collie",60,60,8401
"Golhine the Hooded",60,60,3318
"Arathandris Silversky",60,60,2954
"Maybess Riverbreeze",60,60,2954
"High Executioner Nuzrak",60,60,3075
"Overlord Wyrmthalak",60,60,3791
"Necropolis Acolyte",62,62,3555
"Doom Touched Warrior",61,61,4091
"Tomb Horror",61,61,4091
"Zulian Crocolisk",60,60,3791
"Scarshield Portal",60,60,10000
"Pyroguard Emberseer",63,63,3791
"Mathredis Firestar",60,60,8401
"Lord Victor Nefarius",63,63,4635
"Lady Sylvanas Windrunner",63,63,3794
"Rexxar",62,62,4391
"Onyxia",63,63,4691
"Kashoch the Reaver",60,60,3791
"Lady Hederine",61,61,3316
"Misha",60,60,3791
"Solakar Flamewreath",60,60,3791
"Gizrul the Slavener",60,60,3791
"Krakle",60,60,8401
"Storm Shadowhoof",60,60,8401
"Aurora Skycaller",62,62,4091
"Blackhand Elite",60,61,4091
"Blackhand Assassin",60,61,2086
"Blackhand Iron Guard",60,61,8100
"Emberstrife",61,61,4952
"Gyth",62,62,4391
"Vaelastrasz the Red",62,62,4391
"Kergul Bloodaxe",61,61,4091
"General Drakkisath",63,63,4391
"Rage Talon Dragon Guard",60,61,6095
"Rage Talon Captain",62,62,4391
"Rage Talon Fire Tongue",60,61,4091
"Crystal Fang",60,60,3791
"Wrath Phantom",60,60,3316
"Ash'ari Crystal",60,60,3791
"Venom Belcher",60,61,4091
"Warchief Rend Blackhand",63,63,4391
"The Beast",63,63,4391
"Gregor Greystone",60,60,4500
"Vectus",60,60,3075
"Nerub'enkan",60,60,4719
"Maleki the Pallid",61,61,2073
"Ramstein the Gorger",60,61,3791
"Baron Rivendare",61,62,4091
"Lady Illucia Barov",60,60,3075
"Jandice Barov",61,61,3316
"Instructor Malicia",60,60,3075
"The Ravenian",60,60,3791
"Ras Frostwhisper",62,62,4299
"Vaelastrasz",60,60,3791
"Vol'jin",60,60,3791
"Crypt Scarab",60,60,20
"Urok Doomhowl",60,60,3075
"Rivern Frostwind",62,62,2978
"Glacier",60,60,2999
"Scryer",60,60,3791
"Chromie",63,63,4641
"Finkle Einhorn",60,60,3791
"Warosh",60,60,3075
"Warosh the Redeemed",60,60,3075
"Stonespine",60,60,7505
"Archivist Galford",60,60,3075
"Grand Crusader Dathrohan",61,62,3555
"Balnazzar",61,62,4091
"Ranger Lord Hawkspear",60,60,3791
"High Executor Derrington",61,61,3790
"Commander Ashlam Valorfist",61,61,3316
"Argent Officer Garush",60,60,3791
"Argent Officer Pureheart",60,60,3791
"Argent Quartermaster Hasana",60,60,3408
"Argent Quartermaster Lightspark",60,60,3408
"Goraluk Anvilcrack",61,61,4091
"Lorekeeper Polkelt",60,60,3791
"Aurius",60,60,2954
"Lorax",61,61,3790
"Tenell Leafrunner",62,62,4091
"Ivy Leafrunner",63,63,8740
"Haleh",62,62,4391
"Joseph Redpath",60,60,3316
"Captain Redpath",60,60,3791
"Redpath the Corrupted",60,60,3791
"Nessy",62,62,4391
"Davil Lightfire",60,60,3791
"Davil Crokford",60,60,3316
"Horgus the Ravager",60,60,3791
"Winterax Berserker",61,62,4091
"Kodo Spirit",60,60,3791
"Alexi Barov",60,60,3791
"Weldon Barov",60,60,3142
"Malor the Zealous",60,60,3075
"Lord Maxwell Tyrosus",60,60,4091
"Betina Bigglezink",60,60,3326
"Leonid Barthalomew the Revered",60,60,8401
"Caretaker Alen",60,60,2669
"Duke Nicholas Zverenhoff",60,60,3791
"High Priestess MacDonnell",60,60,2558
"Crimson Rifleman",60,60,3408
"Shadow Priestess Vandis",60,60,3075
"Fras Siabi",61,61,4091
"Carlin Redpath",60,60,3408
"Wynd Nightchaser",62,62,3913
"Argent Guard",60,60,3271
"Mana Tide Totem III",60,60,0
"Crimson Hammersmith",60,60,3791
"Black Guard Swordsmith",61,62,4091
"Postmaster Malown",60,60,3791
"Himmik",60,60,8401
"Argent Defender",60,60,4500
"Mindless Skeleton",60,60,3354
"Crimson Cannon",61,61,0
"Summoned Skeleton",60,60,3316
"Manifestation of Water",60,60,3791
"Doctor Theolen Krastinov",60,60,3791
"Hakkari Shadowcaster",61,61,3316
"Hakkari Shadow Hunter",61,61,3316
"Hakkari Blood Priest",61,61,3316
"Zealot Lor'Khan",60,62,4391
"Zealot Zath",60,62,4391
"Gurubashi Axe Thrower",60,60,3791
"Gurubashi Headhunter",60,60,3791
"Gurubashi Berserker",62,62,4391
"Gurubashi Blood Drinker",60,60,3791
"Gurubashi Champion",61,61,4091
"Son of Hakkar",60,60,5721
"Soulflayer",61,61,4091
"Zulian Cub",60,60,3791
"Zulian Panther",60,60,3791
"Razzashi Broodwidow",61,61,4091
"Razzashi Serpent",60,60,3791
"Razzashi Adder",60,60,3791
"Razzashi Cobra",60,60,3791
"Hooktooth Frenzy",60,60,3791
"Jin'do the Hexxer",63,63,4950
"Bloodlord Mandokir",63,63,4950
"Vilebranch Speaker",60,61,4391
"Skullsplitter Speaker",61,61,4091
"Bloodscalp Speaker",61,61,4091
"Sandfury Speaker",61,61,4091
"Priestess Alathea",60,60,3252
"High Priest Rohan",60,60,3252
"Illusion of Jandice Barov",61,61,4091
"Gordok Spirit",60,60,3791
"Mushgog",60,60,3900
"Prince Tortheldrin",60,61,3791
"Illyanna Ravenoak",60,60,3075
"Immol'thar",61,61,4091
"The Razza",60,60,3491
"King Gordok",61,62,4391
"Ragnaros",63,63,5691
"Quartermaster Miranda Breechlock",60,60,3408
"Nefarian",63,63,4691
"Rattlegore",61,61,3316
"Scourge Summoning Crystal",60,60,2500
"Taiga Wisemane",60,60,8401
"Servant of Weldon Barov",60,60,3075
"Servant of Alexi Barov",60,60,3075
"Molten Giant",62,62,4391
"Molten Destroyer",63,63,4691
"Flamewaker",62,62,3555
"Flamewaker Priest",62,62,2223
"Flamewaker Healer",60,60,3900
"Flamewaker Elite",62,62,4500
"Lava Annihilator",61,62,4241
"Firewalker",61,62,4241
"Flameguard",61,62,4241
"Firelord",61,62,4241
"Flame Imp",61,62,4391
"Core Hound",61,61,4091
"Core Rager",62,62,4391
"Ancient Core Hound",62,62,4391
"Varian Wrynn",60,60,3075
"Mor'vek",60,60,3075
"Arin'sor",60,60,3075
"Kriss Goldenlight",60,60,8401
"Adon",60,60,8401
"Celes Earthborne",60,60,8401
"Meggi Peppinrocker",60,60,3252
"Mylentha Riverbend",60,60,2954
"Bessany Plainswind",60,60,2954
"Moren Riverbend",60,60,2954
"Tajarri",60,60,2954
"Rabine Saturna",60,60,2954
"Dendrite Starblaze",60,60,2954
"Twilight Keeper Exeter",60,60,3791
"Twilight Keeper Havunth",60,60,3075
"Hakkari Priest",60,60,3075
"Keeper Remulos",62,62,4091
"Doomguard",60,60,3791
"Azore Aldamort",60,60,3252
"Spectral Attendant",60,60,3075
"Nathanos Blightcaller",62,62,4391
"Borelgore",61,61,4091
"Duskwing",60,60,3791
"Crusader Lord Valdelmar",60,60,3106
"Drek'Thar",62,62,4930
"Captain Galvangar",61,61,4091
"Vanndar Stormpike",62,62,4930
"Captain Balinda Stonehearth",61,61,2091
"Great Bear Spirit",60,60,6792
"Great Cat Spirit",60,60,6792
"Flamegor",63,63,4691
"Magmadar",63,63,4691
"Firemaw",63,63,4691
"Golemagg the Incinerator",63,63,4691
"Stormpike Herald",60,60,3075
"Frostwolf Herald",60,60,3075
"Broodlord Lashlayer",63,63,4691
"Majordomo Executus",63,63,4500
"Koiter",60,60,8401
"Baron Geddon",63,63,3832
"Garr",63,63,4691
"Lava Elemental",61,62,4241
"Sulfuron Harbinger",63,63,3840
"Firesworn",60,60,3791
"Lava Reaver",62,63,4241
"Lava Surger",61,62,4241
"Lucifron",63,63,3795
"Flamewaker Protector",62,62,3555
"Draka",60,60,3791
"Duros",60,60,3791
"Lord Tirion Fordring",63,63,4790
"Crimson Elite",60,60,3095
"Onyxian Warder",60,63,4691
"Guardian of Elune",60,60,3075
"Son of Flame",60,60,3900
"Winterax Axe Thrower",60,60,3075
"Korrak the Bloodrager",62,62,5120
"Glordrum Steelbeard",61,61,4091
"Martin Lindsey",61,61,20
"Zaetar's Spirit",60,60,3791
"Infiltrator Hameya",60,60,3791
"Gehennas",63,63,3795
"Shazzrah",63,63,3795
"Quel'Lithien Protector",60,60,2954
"Crimson Courier",60,60,3075
"Demetria",61,61,4091
"Doomguard Commander",61,61,3316
"Lord Kazzak",63,63,4691
"Blackwing Legionnaire",60,60,3791
"Blackwing Mage",60,60,3075
"Death Talon Dragonspawn",60,60,4091
"Flint Shadowmore",60,60,3110
"Magmadar",63,63,0
"Razorgore the Untamed",63,63,4791
"Blackwing Spellbinder",62,62,3555
"Blackwing Taskmaster",62,62,3555
"Blackwing Warlock",61,61,3316
"Death Talon Wyrmguard",63,63,4691
"Death Talon Overseer",62,62,4391
"Death Talon Flamescale",62,62,4391
"Death Talon Seether",62,62,4391
"Death Talon Wyrmkin",61,61,3316
"Death Talon Captain",62,62,4391
"Death Talon Hatcher",61,61,3316
"Arcanite Dragonling",60,60,3750
"Emeraldon Boughguard",62,62,4391
"Emeraldon Tree Warder",60,60,3791
"Emeraldon Oracle",61,61,3316
"Verdantine Boughguard",62,62,4391
"Verdantine Oracle",61,61,4091
"Verdantine Tree Warder",60,60,3791
"Dreamtracker",62,62,4391
"Dreamroarer",62,62,4391
"Dreamstalker",62,62,4391
"Reginald Windsor",63,63,4391
"Onyxia's Elite Guard",60,60,3791
"Lady Onyxia",63,63,4691
"Guard Quine",62,62,4091
"Guard Hammon",62,62,4091
"Legionnaire Teena",62,62,4091
"Blood Guard Hini'wana",62,62,4091
"Advisor Willington",62,62,4091
"Chieftain Earthbind",62,62,4091
"Grunt Korf",62,62,4091
"Grunt Bek'rah",62,62,4091
"Chimaerok",60,61,3941
"Arcane Chimaerok",60,62,4091
"Chimaerok Devourer",61,62,4241
"Lord Lakmaeran",62,62,4391
"Axtroz",62,62,4391
"Somnus",62,62,4391
"Spirit Of Redemption",60,60,3075
"Lokhtos Darkbargainer",60,60,8401
"Vaelastrasz the Corrupt",63,63,4691
"Alliance Spirit Guide",60,60,3791
"Horde Spirit Guide",60,60,3791
"Commander Randolph",61,61,4930
"Commander Dardosh",61,61,4930
"Syndicate Master Ryson",60,60,3791
"Commander Malgor",61,61,4930
"Commander Mulfort",61,61,4930
"Commander Louis Philips",61,61,4930
"Deathstalker Agent",61,61,4091
"Aerie Gryphon",60,60,3791
"Smith Regzar",60,60,3791
"War Rider",60,60,3791
"Wing Commander Mulverick",60,60,3791
"Primalist Thurloga",60,60,3791
"Lokholar the Ice Lord",63,63,4950
"Murgot Deepforge",60,60,3791
"Duke Hydraxis",60,60,3791
"Lord Tony Romano",60,60,8401
"Commander Mortimer",61,61,4930
"Commander Duffy",61,61,4930
"Commander Karl Philips",61,61,4930
"Veteran Defender",60,60,2800
"Veteran Guardian",60,60,2800
"Veteran Guardsman",60,60,2800
"Veteran Mountaineer",60,60,2800
"Veteran Sentinel",60,60,2800
"Veteran Warrior",60,60,2800
"Stormpike Mine Layer",61,61,5250
"Frostwolf Mine Layer",61,61,5250
"Master Engineer Zinfizzlex",60,60,3791
"Frostwolf Shredder Unit",60,60,3791
"Irondeep Peon",61,61,5250
"Stormpike Shredder Unit",60,60,3791
"Ivus the Forest Lord",63,63,4950
"Champion Guardian",60,60,3000
"Champion Defender",60,60,3000
"Champion Guardsman",60,60,3000
"Champion Legionnaire",60,60,3075
"Champion Mountaineer",60,60,3000
"Champion Sentinel",60,60,3000
"Champion Warrior",60,60,3000
"Wing Commander Ichman",60,60,3791
"Frostwolf Wolf Rider Commander",60,60,3791
"Arch Druid Renferal",60,60,3791
"Druid of the Grove",60,60,3791
"Field Marshal Teravaine",61,61,4091
"Warmaster Garrick",61,61,4091
"Veteran Commando",60,60,3791
"Champion Commando",61,61,4091
"Veteran Reaver",60,60,3791
"Champion Reaver",61,61,4091
"Champion Coldmine Guard",60,60,3791
"Champion Coldmine Surveyor",60,60,3791
"Champion Irondeep Explorer",60,60,3791
"Champion Irondeep Raider",60,60,3791
"Champion Coldmine Explorer",60,60,3791
"Champion Coldmine Invader",60,60,3791
"Champion Irondeep Guard",60,60,3791
"Stormpike Ram Rider Commander",60,60,3791
"Stormpike Explosives Expert",60,60,3791
"Frostwolf Stable Master",60,60,3791
"Stormpike Stable Master",60,60,3791
"Mountaineer Boombellow",60,61,3791
"Jotek",60,61,3791
"Prospector Stonehewer",61,61,4300
"Voggah Deathgrip",61,61,3790
"Royal Dreadguard",60,60,4200
"Lieutenant Haggerdin",61,61,4091
"Frostwolf Ambassador Rokhstrom",60,60,8401
"Lieutenant Rotimer",60,60,8401
"Winterax Warrior",60,60,3791
"Alterac Yeti",61,61,4091
"Blackwing Technician",60,60,3791
"Chromaggus",63,63,4691
"Corrupted Red Whelp",60,60,3791
"Corrupted Green Whelp",60,60,3791
"Corrupted Blue Whelp",60,60,3791
"Corrupted Bronze Whelp",60,60,3791
"Massive Geyser",60,60,2500
"Bounty Hunter Kolark",60,60,2954
"Artilleryman Sheldonore",60,60,2954
"Ravak Grimtotem",60,60,3075
"Athramanis",60,60,3075
"Green Drakonid",60,60,3791
"Bronze Drakonid",60,60,3791
"Red Drakonid",60,60,3791
"Stormpike Battleguard",61,61,3489
"Frostwolf Battleguard",61,61,3489
"Kor'kron Elite",60,60,4200
"Ferra",60,60,3791
"Cho'Rush the Observer",60,60,3075
"Captain Kromcrush",61,61,4091
"Highlord Demitrian",62,62,4391
"Earthcaller Franzahl",62,62,4391
"Mizzle the Crafty",60,60,3791
"Azj'Tordin",60,60,8401
"Shen'dralar Ancient",60,60,3791
"Thornling",60,60,20
"Thief Catcher Shadowdelve",60,60,4200
"Thief Catcher Farmountain",60,60,3791
"Thief Catcher Thunderbrew",60,60,4200
"Lorekeeper Lydros",60,60,3791
"Scout Stronghand",60,60,3791
"Scout Manslayer",60,60,3791
"Scout Tharr",60,60,3791
"Huntress Skymane",60,60,3791
"Huntress Ravenoak",60,60,3791
"Huntress Leafrunner",60,60,3791
"Lorekeeper Javon",60,60,3791
"Lorekeeper Mykos",60,60,3791
"Lothos Riftwaker",60,60,3791
"Netherwalker",60,60,3791
"Overlord Runthak",60,60,3791
"Major Mattingly",60,60,3791
"Master Elemental Shaper Krixix",60,60,3791
"Seeker Cromwell",60,60,3791
"Seeker Nahr",60,60,3791
"Seeker Thompson",60,60,3791
"Officer Jaxon",60,60,3791
"Prince Thunderaan",63,63,4695
"Mor'zul Bloodbringer",61,61,3316
"Officer Pomeroy",60,60,3791
"Officer Brady",60,60,3791
"Hunter Sagewind",60,60,4500
"Hunter Ragetotem",60,60,4500
"Hunter Thunderhorn",60,60,4500
"Enslaved Doomguard Commander",61,61,4091
"The Windreaver",60,60,3791
"Blackwing Guardsman",61,61,4091
"Princess Tempestria",60,60,3791
"Daio the Decrepit",60,60,8401
"Setis",61,61,4091
"Lapress",60,60,3791
"Twilight Lord Everun",60,60,3075
"Dread Guard",60,60,3791
"Scourge Archer",60,60,3791
"Eris Havenfire",60,60,3791
"Xorothian Dreadsteed",62,62,4391
"The Cleaner",60,60,4691
"Dreadsteed Spirit",60,60,3791
"Lord Hel'nurath",62,62,4391
"High Priest Venoxis",63,63,4691
"High Priest Thekal",63,63,4691
"High Priestess Mar'li",63,63,4691
"Shadowed Spirit",60,60,3791
"High Priestess Arlokk",63,63,4691
"Death Knight Darkreaver",62,62,4391
"High Priestess Jeklik",63,63,4691
"Aspect of Banality",60,60,3791
"Aspect of Malice",60,60,3791
"Aspect of Shadow",60,60,3791
"Vartrus the Ancient",63,63,3790
"Stoma the Ancient",63,63,3790
"Hastat the Ancient",63,63,3790
"Simone the Inconspicuous",60,60,3791
"Precious",60,60,3791
"Franklin the Friendly",60,60,3791
"Solenor the Slayer",60,60,3791
"Artorius the Amiable",60,60,3791
"Razzashi Venombrood",60,60,3791
"Simone the Seductress",60,60,3791
"Klinfran the Crazed",60,60,3791
"Artorius the Doombringer",60,60,3791
"Nelson the Nice",60,60,3791
"Precious the Devourer",60,60,3791
"Ancient Equine Spirit",60,60,3791
"Darkreaver's Fallen Charger",60,60,3791
"Ebonroc",63,63,4691
"Overseer Oilfist",60,60,8401
"Corrupted Healing Stream Totem V",60,60,0
"Corrupted Windfury Totem III",60,60,0
"Corrupted Infernal",60,60,3791
"High Overlord Saurfang",62,62,4391
"Field Marshal Afrasiabi",62,62,4391
"PvP CTF Credit Marker",60,60,2500
"Primal Torntusk",60,60,4300
"Gurubashi Bat Rider",61,61,4091
"Dun Baldar North Marshal",60,60,4930
"Dun Baldar South Marshal",60,60,4930
"Icewing Marshal",60,60,4930
"Stonehearth Marshal",60,60,4930
"Iceblood Marshal",60,60,4930
"Tower Point Marshal",60,60,4930
"East Frostwolf Marshal",60,60,4930
"West Frostwolf Marshal",60,60,4930
"Dun Baldar North Warmaster",60,60,4930
"Dun Baldar South Warmaster",60,60,4930
"East Frostwolf Warmaster",60,60,4930
"Iceblood Warmaster",60,60,4930
"Icewing Warmaster",60,60,4930
"Stonehearth Warmaster",60,60,4930
"Tower Point Warmaster",60,60,4930
"West Frostwolf Warmaster",60,60,4930
"Razzashi Raptor",60,60,3791
"Silas Darkmoon",61,61,4091
"Withered Mistress",60,60,3075
"Sacrificed Troll",60,60,3640
"Burth",60,60,8401
"Hakkar",63,63,3795
"Blood Steward of Kirtonos",61,61,3316
"Molthor",60,60,3791
"Zandalar Headshrinker",60,60,3791
"Atal'ai Mistress",60,60,3791
"Voodoo Slave",60,60,3075
"Parasitic Serpent",63,63,4391
"Ysondre",63,63,4691
"Lethon",63,63,4691
"Emeriss",63,63,4691
"Taerar",63,63,4691
"Jin'rokh the Breaker",60,60,3791
"Al'tabim the All-Seeing",60,60,3791
"Maywiki of Zuldazar",60,60,3791
"Falthir the Sightless",60,60,3791
"Exzhal",60,60,3791
"Zandalar Enforcer",60,60,3791
"Captured Hakkari Zealot",60,60,3791
"Rin'wosho the Trader",63,63,3790
"Kartra Bloodsnarl",61,61,4091
"Guse's War Rider",60,60,3850
"Jeztor's War Rider",60,60,3850
"Mulverick's War Rider",60,60,3850
"Slidore's Gryphon",60,60,3850
"Ichman's Gryphon",60,60,3850
"Vipore's Gryphon",60,60,3850
"Frenzied Bloodseeker Bat",60,60,3750
"Elfarran",61,61,4091
"Lylandris",61,61,4091
"Field Marshal Oslight",62,62,4091
"Sergeant Maclear",62,62,4091
"Powerful Healing Ward",62,63,4091
"Ohgan",63,63,4391
"Deze Snowbane",61,61,4091
"Sir Malory Wheeler",61,61,20
"Lady Hoteshem",61,61,4091
"Voodoo Spirit",70,70,3791
"Deathmaster Dwire",62,62,4091
"Deathstalker Mortis",62,62,4091
"Zanza the Restless",60,60,3791
"Gurubashi",60,60,20
"Zulian Stalker",61,61,4091
"Vinchaxa",60,60,3791
"Servant of the Hand",60,60,3791
"Gri'lek",63,63,4391
"Hazza'rah",63,63,4391
"Renataki",63,63,4391
"Booty Bay Elite",61,61,4091
"Zulian Prowler",60,60,3791
"Argent Rider",60,60,4500
"Argent Rider",60,60,4500
"Mad Servant",61,61,3316
"Powerful Healing Ward",62,63,4091
"Honored Hero",60,60,3640
"Gahz'ranka",63,63,4391
"Honored Ancestor",60,60,20
"Chained Spirit",60,60,3791
"Scarlet Inquisitor",61,61,4091
"Nightmare Illusion",63,63,3791
"Ralo'shan the Eternal Watcher",60,60,2954
"Rutgar Glyphshaper",60,60,8401
"Frankal Stonebridge",60,60,8401
"Glibb",62,62,4391
"Baristolth of the Shifting Sands",60,60,8401
"Commander Mar'alith",62,62,3913
"Vish Kozus",61,61,4091
"Geologist Larksbane",60,60,2954
"Cenarion Hold Infantry",60,60,3500
"Brood of Nozdormu",62,62,6319
"Anachronos",61,61,9471
"Wickerman Guardian",60,60,3316
"Darkcaller Yanka",60,60,3075
"Sergeant Hartman",60,60,3075
"Twilight Keeper Mayna",60,60,1923
"Twilight Flamereaver",60,60,3791
"Vyral the Vile",61,61,3316
"Prince Skaldrenox",63,63,4391
"High Marshal Whirlaxis",63,63,4391
"Baron Kazum",63,63,4391
"The Duke of Cynders",62,62,4091
"The Duke of Fathoms",62,62,4091
"The Duke of Shards",62,62,4091
"Crimson Templar",60,60,3691
"Azure Templar",60,60,3691
"Hoary Templar",60,60,3691
"Mistress Natalia Mar'alith",61,62,4091
"The Duke of Zephyrs",62,62,4091
"Dream Fog",63,63,3790
"Demented Druid Spirit",60,60,1000
"Spirit Shade",60,60,2500
"Huum Wildmane",60,60,8401
"Aurel Goldleaf",60,60,8401
"Aendel Windspear",60,60,3075
"Shade of Taerar",63,63,3790
"Lord Skwol",63,63,4391
"Earthen Templar",60,60,3691
"Twilight Prophet",60,60,1923
"Horde Warbringer",60,60,4800
"Alliance Brigadier General",60,60,4800
"Emissary Roman'khan",63,63,3769
"Vekniss Soldier",61,61,4091
"Vekniss Warrior",60,61,4091
"Vekniss Guardian",61,61,4681
"Vekniss Stinger",62,62,4391
"Vekniss Wasp",60,60,4204
"Vekniss Hive Crawler",62,62,4391
"Qiraji Mindslayer",61,61,4091
